iyear,imonth,iday,latitude,longitude,city
1988,4,1,31.37148,75.393681,Kapurthala District
1988,4,1,29.069596,75.851943,Bhagana
1988,4,1,29.42301,79.427488,Pangot
1988,4,1,31.606478,75.147241,Jodhan Nagri
1988,5,1,30.34,76.38,Patiala
1988,5,1,20.404939,85.834546,Dadha
1988,6,1,30.776638,74.882875,Mudki
1988,7,1,27.046316,88.271156,Darjeeling
1988,7,1,30.966064,76.523162,Rupnagar
1988,8,1,25.062253,79.439662,Nowgong
1988,8,1,27.489464,95.360144,Tinsukia
1988,9,1,31.819031,75.376582,Qadian
1988,9,1,32.040763,75.401886,Gurdaspur district
1988,10,1,30.916931,74.819276,Karmuwal
1988,11,1,32.726602,74.857026,Jammu
1989,1,1,31.8186,75.2028,Batala
1989,1,1,24.867222,84.143611,Mali Bigha
1989,1,1,30.954424,74.612085,Firozpur
1989,1,1,25.216667,84.983333,Jahanabad district
1989,1,1,27.056736,76.214425,Shekhawala
1989,1,1,29.933673,78.179867,Haridwar
1989,2,1,31.260905,74.679536,Bhai Ladhu
1989,5,1,19.871715,82.775162,Dharamgarh
1989,5,1,26.200605,92.937574,Unknown
1989,6,1,31.633078,74.878288,Amritsar
1989,6,1,30.679722,76.721944,Mohali
1989,9,1,18.789792,78.914857,Jagtial
1990,1,1,34.08374,74.789902,Srinagar
1990,1,1,34.08374,74.789902,Srinagar
1990,1,1,34.08374,74.789902,Srinagar
1990,2,1,34.08374,74.789902,Srinagar
1990,3,1,28.984462,77.706414,Meerut
1990,3,1,34.08374,74.789902,Srinagar
1990,4,1,17.973356,79.59996,Warangal
1990,8,1,34.08374,74.789902,Srinagar
1991,7,1,26.75602,94.20945,Jorhat
1991,7,1,27.28668,95.670406,Margherita
1991,7,1,26.75602,94.20945,Jorhat
1991,7,1,26.436608,92.028079,Mangaldai
1991,7,1,26.149794,91.763931,Guwahati
1991,7,1,33.778175,76.576171,Unknown
1991,7,1,26.200605,92.937574,Unknown
1991,7,1,26.200605,92.937574,Unknown
1991,7,1,26.200605,92.937574,Unknown
1991,7,1,26.200605,92.937574,Unknown
1991,7,1,26.200605,92.937574,Unknown
1991,7,1,26.200605,92.937574,Unknown
1991,7,1,26.200605,92.937574,Unknown
1991,7,1,26.200605,92.937574,Unknown
1991,8,1,31.448943,74.925262,Tarn Taran
1991,9,1,30.381945,75.546798,Barnala
1991,11,1,26.329008,91.005433,Barpeta
1992,2,1,30.378179,76.776697,Ambala
1992,3,1,33.778175,76.576171,Watapura-Bandipura
1992,4,1,30.898024,75.860077,Ludhiana
1992,12,1,18.438555,79.128841,Karimanagar district
1992,12,1,31.097911,75.528524,Sidhwan
1994,12,1,15.9129,79.739988,Unknown
1995,3,1,25.779565,84.749889,Chhapra district
1995,12,1,15.505723,80.049922,Ongole
1996,8,1,34.08374,74.789902,Srinagar
1996,10,1,27.17667,78.008074,Agra
1996,12,1,34.08374,74.789902,Srinagar
1996,12,1,30.966064,76.523162,Rupnagar district
1997,2,1,29.390946,76.963502,Panipat
1997,7,1,18.331457,78.496504,Machareddi
1997,7,1,33.437013,75.193934,Banihal
1997,10,1,28.67104,77.415333,Ghaziabad
1997,10,1,28.690073,77.213982,Delhi
1997,11,1,27.857788,77.79062,Ikhu
1997,11,1,34.08374,74.789902,Srinagar
1997,11,1,34.08374,74.789902,Srinagar
1997,11,1,34.08374,74.789902,Srinagar
1997,11,1,34.08374,74.789902,Srinagar
1999,4,1,32.925224,75.135264,Udhampur district
2000,1,1,32.925224,75.135264,Udhampur
2000,1,1,27.091373,95.023955,Kakotibari
2000,5,1,23.9654,91.37104,Mohanpur
2000,8,1,34.016075,75.31498,Pahalgam
2000,9,1,34.24437,74.449611,Sangrama
2000,9,1,34.152586,77.577053,Leh district
2000,9,1,33.731125,75.148701,Anantang district
2000,12,1,34.161541,74.553093,Pattan
2000,12,1,34.08374,74.789902,Srinagar
2000,12,1,34.08374,74.789902,Srinagar
2000,12,1,34.08374,74.789902,Srinagar
2000,12,1,33.778175,76.576171,Sarju
2001,3,1,34.142813,74.50751,Dangarpora
2001,8,1,34.016396,74.72187,Budgam
2001,8,1,33.732216,75.157913,Anantnag
2001,8,1,34.205141,74.349494,Baramulla district
2001,8,1,26.401436,90.266699,Kokrajhar district
2001,9,1,34.083658,74.797368,Srinagar district
2001,10,1,34.08374,74.789902,Srinagar
2001,12,1,34.419539,74.63827,Bandipora
2001,12,1,33.778175,76.576171,Unknown
2001,12,1,19.361145,79.292385,Asifabad
2001,12,1,17.951667,81.691111,Poteru
2002,1,1,34.419539,74.63827,Bandipora
2002,1,1,33.724008,75.017854,Yaripora
2002,1,1,32.264338,75.642112,Pathankot
2002,1,1,33.767001,74.092404,Poonch District
2002,2,1,34.161541,74.553093,Pattan
2002,5,1,33.789497,75.103386,Bijbehara
2002,5,1,10.850516,76.271083,Unknown
2002,6,1,34.08374,74.789902,Srinagar
2002,9,1,33.65,74.288611,Gunthal
2002,9,1,34.419539,74.63827,Bandipora
2002,10,1,32.455637,75.272766,Hiranagar
2002,12,1,33.778175,76.576171,Unknown
2002,12,1,33.778175,76.576171,Bun Doda
2003,5,1,33.931011,75.114212,Tral
2003,6,1,25.114891,94.249999,Tuinem
2003,10,1,13.628293,79.41986,Tirupati
2004,1,1,34.08374,74.789902,Srinagar
2004,4,1,34.08374,74.789902,Srinagar
2004,11,1,33.721287,74.831062,Shopian
2005,1,1,33.732216,75.157913,Anantnag
2005,3,1,33.778175,76.576171,Matribugh
2005,5,1,33.789497,75.103386,Bijbehara
2005,6,1,33.64542,75.019676,Kulgam
2006,5,1,34.411496,74.302288,Kulangam
2006,5,1,34.419539,74.63827,Bandipora
2006,5,1,34.08374,74.789902,Srinagar
2006,5,1,33.14575,75.548049,Doda
2006,6,1,22.06054,85.237313,Karampada
2006,8,1,34.08374,74.789902,Srinagar
2006,8,1,34.08374,74.789902,Srinagar
2006,9,1,33.14575,75.548049,Doda
2007,6,1,34.18478,74.313288,Sheeri
2007,6,1,34.08374,74.789902,Srinagar
2007,7,1,25.068588,84.016742,Rhotas district
2007,9,1,26.149794,91.763931,Guwahati
2007,9,1,34.08374,74.789902,Srinagar
2007,10,1,27.567739,95.557243,Doom Dooma
2007,10,1,27.49267,95.346691,Tinsukia
2007,10,1,27.473805,94.912178,Dibrugarh district
2007,11,1,28.585836,77.153336,New Delhi
2008,1,1,25.47283,82.570528,Rampur
2008,1,1,25.197613,86.540267,Munger district
2008,1,1,23.332078,86.365208,Purulia district
2008,1,1,23.232421,87.861479,Burdwan district
2008,3,1,26.149794,91.763931,Guwahati
2008,4,1,24.749905,84.370896,Kala Pahar
2008,4,1,23.075278,85.278889,Khunti district
2008,5,1,24.33168,94.000705,Chandel district
2008,7,1,19.203477,81.934532,Bastar district
2008,7,1,24.798346,93.94043,Imphal
2008,7,1,18.815236,82.712102,Koraput district
2008,9,1,24.798346,93.94043,Imphal
2008,9,1,24.798346,93.94043,Imphal
2008,10,1,33.032216,75.910031,Gandoh Bhalessa
2008,10,1,25.651664,94.103083,Kohima
2008,12,1,25.906267,93.72759,Dimapur
2008,12,1,17.942064,82.384419,Meduru
2008,12,1,24.553214,84.028638,Sonbarsa
2009,1,1,26.149794,91.763931,Guwahati
2009,1,1,26.149794,91.763931,Guwahati
2009,1,1,26.149794,91.763931,Guwahati
2009,3,1,25.314437,86.542191,Ratanpur
2009,6,1,22.556,72.951,Anand
2009,6,1,25.262852,93.302322,Semkhor
2009,8,1,22.804567,86.202875,Jamshedpur
2009,8,1,22.870022,86.476908,Chirugora
2009,8,1,22.408038,87.381073,West Midnapore district
2009,9,1,24.628724,93.761325,Bishenpur district
2009,9,1,24.798346,93.94043,Imphal
2009,10,1,22.580919,87.014903,Binpur
2009,11,1,27.475227,94.556559,Dhemaji
2009,11,1,26.444112,91.44136,Nalbari
2009,11,1,24.33168,94.000705,Chandel
2009,11,1,22.562035,87.154756,Salboni
2009,12,1,20.271944,81.493056,Kanker district
2009,12,1,24.159623,83.803807,Garhwa
2010,2,1,23.232415,87.078604,Bankura
2010,2,1,23.332078,86.365208,Purulia
2010,3,1,24.877812,86.921828,Bagdhasba
2010,3,1,24.644924,93.99929,Thoubal
2010,3,1,23.332078,86.365208,Purulia district
2010,4,1,33.921168,75.014605,Awantipora
2010,4,1,20.848333,86.337222,Jajpur
2010,5,1,18.364195,81.892418,Malkangiri district
2010,5,1,22.424109,87.318986,Midnapore
2010,6,1,25.2727,94.0265,Senapati
2010,7,1,27.540153,95.722239,Bijulibon
2010,7,1,19.723535,81.242411,Narayanpur
2010,7,1,24.304028,84.204164,Charai
2010,7,1,24.798346,93.94043,Imphal
2010,8,1,23.938979,84.425145,Doki
2010,9,1,23.887562,84.799711,Bariatu
2010,11,1,26.801527,84.502967,Bettiah
2010,11,1,23.417853,85.211422,Ratu Chatti
2010,11,1,24.798346,93.94043,Imphal
2010,12,1,18.262023,79.686485,Laxmipuram
2010,12,1,23.961479,87.229486,Dudhapani
2010,12,1,22.97566,86.625366,Kumari
2011,2,1,24.798346,93.94043,Imphal
2011,2,1,25.466718,84.416641,Jagdishpur
2011,2,1,22.404193,87.379866,West Midnapore district
2011,3,1,24.924391,86.220707,Mahugayen
2011,3,1,24.787585,86.082801,Garhi
2011,3,1,24.787585,86.082801,Garhi
2011,3,1,24.787585,86.082801,Garhi
2011,3,1,24.924391,86.220707,Mahugayen
2011,4,1,26.105724,89.831045,Golakganj
2011,4,1,23.041512,84.544486,Gumla
2011,5,1,18.364195,81.892418,Malkangiri district
2011,6,1,25.069201,84.01735,Pararia
2011,6,1,23.43,84.68,Lohardaga
2011,6,1,23.289029,85.223074,Baridih
2011,6,1,24.795728,84.999721,Gaya district
2011,7,1,24.251281,94.301304,Moreh
2012,2,1,23.846121,84.816828,Chetag
2012,3,1,25.591228,85.140158,Mithapur
2012,5,1,9.925201,78.119775,Madurai
2012,6,1,25.558029,84.66748,Arrah
2012,7,1,33.931011,75.114212,Tral
2012,7,1,23.540541,74.442253,Banswara
2012,8,1,18.52043,73.856744,Pune
2012,8,1,18.52043,73.856744,Pune
2012,8,1,18.52043,73.856744,Pune
2012,8,1,18.52043,73.856744,Pune
2012,8,1,18.52043,73.856744,Pune
2012,8,1,18.52043,73.856744,Pune
2012,8,1,34.025014,74.809009,Unknown
2012,8,1,24.798346,93.94043,Imphal
2012,8,1,34.475713,74.263437,Nagari Malpora
2012,8,1,23.825514,68.775724,Lakhpat
2012,9,1,18.143935,80.886748,Tikler
2012,9,1,18.855598,82.736167,Potamunda
2012,10,1,22.709685,87.170958,Goaltore
2012,10,1,24.798346,93.94043,Imphal
2012,11,1,9.876793,78.06953,Thiruparankundram
2012,12,1,25.571117,90.222955,Ringreygittim
2013,1,1,26.95635,70.800476,Unknown
2013,2,1,25.907054,90.772892,Dainadubi
2013,4,1,21.298113,80.596609,Daldalkuhi
2013,4,1,20.397205,82.882905,Dangia
2013,5,1,24.885969,94.096331,Seijang
2013,7,1,33.774807,74.09723,Saujian
2013,7,1,33.931011,75.114212,Tral
2013,7,1,20.427697,86.011276,Ayatpur
2013,7,1,24.798346,93.94043,Imphal
2013,7,1,19.413174,80.003366,Kaller
2013,7,1,12.915447,79.134746,Vellore
2013,8,1,25.006355,94.02804,Dolaithabi
2013,8,1,24.798346,93.94043,Imphal
2013,9,1,34.288891,74.463715,Sopore
2013,9,1,25.41847,91.743622,Shilong
2013,9,1,24.654662,93.447772,Khoupum
2013,11,1,33.640562,74.263494,Surankot
2014,1,1,24.798346,93.94043,Singjamei
2014,1,1,24.798346,93.94043,Imphal
2014,1,1,29.230103,77.070837,Dikadla
2014,1,1,18.07404,81.750951,Supalu
2014,1,1,18.793435,80.817976,Matda
2014,2,1,25.868492,90.553329,Nongolpara
2014,2,1,24.523387,92.569213,Boncherra
2014,2,1,17.850819,80.886203,Pedaarlagudem
2014,3,1,19.63943,79.474748,Kuthegaon
2014,3,1,22.610439,84.499465,Simdega district
2014,4,1,25.495031,90.617555,Williamnagar
2014,4,1,22.451393,86.992203,Jhargram
2014,4,1,25.224205,90.376971,Gasuapara
2014,4,1,24.94138,94.212998,Litan
2014,4,1,19.172111,81.811241,Kondagaon district
2014,5,1,13.08429,80.27631,Chennai
2014,5,1,13.08429,80.27631,Chennai
2014,5,1,26.619112,91.041857,Narsingbari
2014,5,1,26.660531,91.358867,Baska
2014,5,1,26.384948,90.276411,Kokrajhar
2014,5,1,22.856255,88.406475,Jagaddal
2014,5,1,25.32384,90.419408,Chokpot
2014,6,1,25.273753,94.027276,Senapati district
2014,6,1,18.846484,80.745099,Bijapur district
2014,7,1,11.831884,75.565515,Koothuparamba
2014,8,1,34.08374,74.789902,Srinagar
2014,8,1,23.72677,92.717026,Aizawl
2014,10,1,24.798346,93.94043,Imphal
2014,12,1,33.371651,74.315235,Rajouri district
2014,12,1,33.71704,74.836048,Shopian district
2014,12,1,28.687023,77.317725,New Delhi
2014,12,1,18.404645,81.588419,Chintagupha
2015,1,1,9.869925,78.479669,Sivaganga
2015,1,1,18.832981,80.77664,Kottapalli
2015,1,1,24.125443,84.182967,Chando
2015,2,1,33.8912,74.892711,Barpora
2015,2,1,24.681102,92.563805,Hailakandi district
2015,2,1,18.391379,81.659546,Sukma district
2015,2,1,19.6,81.67,Kondagaon district
2015,2,1,25.535488,89.862199,Manakachar
2015,2,1,32.553454,75.113443,Samba district
2015,2,1,15.64131,74.514799,Manubothulagadda
2015,3,1,24.82,93.95,Lokchao
2015,4,1,20.186773,81.081073,Chargaon
2015,4,1,24.750336,84.370386,Chalidhor
2015,4,1,24.749962,93.385499,Kambiron
2015,5,1,19.411248,80.004579,Aheri
2015,5,1,15.9129,79.739988,Unknown
2015,5,1,34.288891,74.463715,Sopore
2015,5,1,34.288891,74.463715,Sopore
2015,5,1,34.288891,74.463715,Sopore
2015,6,1,25.103432,94.359717,Ukhrul district
2015,6,1,34.08374,74.789902,Srinagar
2015,6,1,24.798346,93.94043,Imphal
2015,6,1,23.850649,86.040233,Nawadih
2015,7,1,20.937726,85.089076,Dhuliput
2015,7,1,33.951609,74.746673,Wagum
2015,8,1,33.876606,75.072066,Hari Parigam
2015,8,1,32.841269,74.462325,Pallanwalla
2015,8,1,25.332677,90.566607,South Garo Hills district
2015,10,1,25.512051,90.653747,Chachatgre
2015,10,1,19.117208,81.521241,Burgum
2015,11,1,24.798346,93.94043,Imphal
2015,11,1,24.798346,93.94043,Imphal
2015,11,1,18.877537,81.696631,Dispur
2015,11,1,8.331238,77.095439,Kulathoor
2016,1,1,32.268717,75.655513,Pathankot
2016,1,1,32.244186,75.434659,Kathlore
2016,1,1,25.740541,84.824858,Chirand
2016,1,1,25.740541,84.824858,Chirand
2016,1,1,26.033251,90.664969,Gairong
2016,2,1,20.388861,81.097718,Tekadodha
2016,2,1,18.03077,81.32402,Bheji
2016,3,1,19.526203,81.101967,Narayanpur district
2016,4,1,24.798346,93.94043,Imphal
2016,4,1,26.083409,91.816555,Khanapara
2016,4,1,23.797436,86.431814,Boodh
2016,4,1,23.3441,85.309562,Ranchi
2016,6,1,26.564511,78.788254,Bhind
2016,6,1,19.598623,80.226578,Etapalli
2016,7,1,33.863483,74.767929,Chrar-e-Sharief
2016,7,1,33.732216,75.157913,Anantnag
2016,7,1,33.871612,74.894569,Litter
2016,7,1,11.888153,75.472341,Chakkarakkal
2016,8,1,34.08374,74.789902,Srinagar
2016,8,1,27.676165,96.6067,Changlang district
2016,8,1,22.547436,85.802537,Chaibasa
2016,8,1,19.494971,80.185794,Gadchiroli district
2016,10,1,26.770993,84.250928,Jagiraha
2016,10,1,21.4088,83.609535,Katapali
2016,10,1,20.042149,81.223841,Hurrapijodi
2016,10,1,12.966668,79.946784,Sriperumbudur
2016,11,1,25.240425,86.985124,Bhagalpur
2016,11,1,11.041,76.083,Malappuram
2016,12,1,24.798346,93.94043,Imphal
2016,12,1,18.438444,79.868696,Bhupalpally
2017,1,1,9.873252,76.302937,Aroor
2017,2,1,18.856056,82.734714,Mungabhumi
2017,2,1,24.595961,93.774262,Nachou
2017,2,1,24.502222,85.006944,Barachatti
2017,2,1,23.8552,85.0309,Bhimlat
2017,3,1,24.208286,84.86605,Chatra
2017,3,1,23.133909,87.542623,Remgre
2017,3,1,25.085708,83.935199,Goreya
2017,3,1,24.798346,93.94043,Imphal
2017,3,1,24.798346,93.94043,Imphal
2017,4,1,34.08374,74.789902,Srinagar
2017,4,1,33.789308,74.106369,Degwar
2017,4,1,19.784281,81.526728,Badedongar
2017,5,1,33.652018,74.942575,Pombai
2017,5,1,33.91331,74.99272,Dangerpora
2017,5,1,18.39924,82.0511,Tamaguda
2017,5,1,26.609814,84.856793,Purba Champaran district
2017,6,1,25.741378,91.889061,Lumnongrim Dewlieh
2017,6,1,25.866991,91.924874,Pahamsohthri
2017,7,1,26.882837,88.279816,Kurseong
2017,8,1,26.438986,90.287464,Kokrajhar
2017,8,1,33.764569,74.092598,Poonch district
2017,8,1,18.190283,83.019353,Damuku
2017,8,1,26.895767,88.585517,Bagrakote
2017,9,1,34.040278,74.907222,Zewan
2017,9,1,20.227744,80.464734,Baghdongari
2017,10,1,18.031073,81.322105,Bhejji
